company,title,location,repository,category,salary,age,url
TikTok,Machine Learning Engineer Graduate - E-Commerce Knowledge Graph - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,3d,https://lifeattiktok.com/search/7679156878833682693
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Video - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,5d,https://lifeattiktok.com/search/7678145401619237173
TikTok,Data Engineer Graduate - Data Platform Global Live - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,5d,https://lifeattiktok.com/search/7678120538997098805
TikTok,Data Engineer Graduate - Data Platform E-commerce - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,10d,https://lifeattiktok.com/search/7676253726624024837
Google,Data Engineer - Google Maps,"Mountain View, CA",2027-AI-College-Jobs,FAANG,$196k/yr,11d,https://www.google.com/about/careers/applications/jobs/results/72704944984990406
TikTok,Machine Learning Engineer Graduate - E-Commerce Supply Chain & Logistics - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,11d,https://lifeattiktok.com/search/7675843332462872885
TikTok,Data Engineer Graduate - Data Platform - Global Live - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,12d,https://lifeattiktok.com/search/7675484418022181173
TikTok,Data Scientist Graduate - E-Commerce Governance - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,16d,https://lifeattiktok.com/search/7674027218993154357
TikTok,Machine Learning Engineer Graduate - E-Commerce Governance - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,16d,https://lifeattiktok.com/search/7674023327725373701
TikTok,Machine Learning Engineer Graduate - E-Commerce Governance - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,16d,https://lifeattiktok.com/search/7674025781001062709
TikTok,LLM Post-Training Engineer Graduate - Research & Product - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,17d,https://lifeattiktok.com/search/7673672141012093189
TikTok,Data Scientist Graduate - Multimedia - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,17d,https://lifeattiktok.com/search/7673672141010815237
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Foundation - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,19d,https://lifeattiktok.com/search/7672882500030138629
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Foundation - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,19d,https://lifeattiktok.com/search/7672880386574338309
TikTok,Data Scientist - PGC - TikTok,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,19d,https://lifeattiktok.com/search/7673215338318367029
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Mall - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,19d,https://lifeattiktok.com/search/7672915427278457141
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Mall - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,19d,https://lifeattiktok.com/search/7672911151560296709
TikTok,Machine Learning Engineer Graduate - TikTok Vertical Recommendation - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,20d,https://lifeattiktok.com/search/7672532275557583157
TikTok,AI Infra Engineer Graduate - Recommendation & LLM - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,20d,https://lifeattiktok.com/search/7672654026594093317
TikTok,Big Data Engineer Graduate - TikTok Recommendation Architecture - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,20d,https://lifeattiktok.com/search/7672518398222387461
Google,Data Engineer - gTech Users and Products Engineering,"Boulder, CO",2027-AI-College-Jobs,FAANG,$196k/yr,24d,https://www.google.com/about/careers/applications/jobs/results/127904573342786246
TikTok,Recommendation Architecture AI/ML Infrastructure Engineer Graduate - Data-Arch-TikTok Live - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,25d,https://lifeattiktok.com/search/7670876337129425205
TikTok,LLM Post-training Engineer Graduate - Research & Product - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,26d,https://lifeattiktok.com/search/7670285949976201477
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Live - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,26d,https://lifeattiktok.com/search/7670285495593273605
TikTok,Data Scientist Graduate - Multimedia - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,26d,https://lifeattiktok.com/search/7670288355678177589
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Live - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,26d,https://lifeattiktok.com/search/7670285949553707317
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation/Search Alliance - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,27d,https://lifeattiktok.com/search/7669910326745434421
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation/Search Alliance - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,27d,https://lifeattiktok.com/search/7669913085331409205
TikTok,General Hire Research Scientist Graduate - TikTok Recommendation - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,45d,https://lifeattiktok.com/search/7663389956951918853
Citadel,Quantitative Trader: Equity Quantitative Research - University Graduate - US,"New York City, NY",2027-AI-College-Jobs,Finance,$338k/yr,47d,https://www.citadel.com/careers/details/quantitative-trader-equity-quantitative-research-university-graduate-us/
Citadel,Quantitative Research Analyst - University Graduate - US,"Miami, FL +1",2027-AI-College-Jobs,Finance,$338k/yr,47d,https://www.citadel.com/careers/details/quantitative-research-analyst-university-graduate-us/
Citadel Securities,Quantitative Trader - University Graduate - US - New York,"New York City, NY",2027-AI-College-Jobs,Finance,$338k/yr,47d,https://www.citadelsecurities.com/careers/details/quantitative-trader-university-graduate-us-new-york/
Citadel Securities,Quantitative Trader - University Graduate - US - Miami,"Miami, FL",2027-AI-College-Jobs,Finance,$338k/yr,47d,https://www.citadelsecurities.com/careers/details/quantitative-trader-university-graduate-us-miami/
Five Rings,Campus Full Time 2027 - Quantitative Trader,"New York City, NY",2027-AI-College-Jobs,Finance,$381k/yr,48d,https://job-boards.greenhouse.io/fiveringsllc/jobs/5255334008
Arrowstreet Capital,Quantitative Researcher,"Boston, MA",2027-AI-College-Jobs,Finance,$208k/yr,53d,https://arrowstreetcapital.wd5.myworkdayjobs.com/en-US/arrowstreet/job/Boston/Quantitative-Researcher_R1066-3
Axon,AI Research Scientist II,"Remote - Washington, DC +1",2027-AI-College-Jobs,Other,,2d,https://job-boards.greenhouse.io/axon/jobs/7976602003
Allegion,Enterprise AI Platform Associate Apprentice,"Carmel, IN",2027-AI-College-Jobs,Other,,3d,https://allegion.wd5.myworkdayjobs.com/en-US/careers/job/Carmel-IN/Enterprise-AI-Platform-Associate-Apprentice_JR37319-1
Axos Bank,AI Enablement Specialist,"San Diego, CA",2027-AI-College-Jobs,Other,,3d,https://axos.wd5.myworkdayjobs.com/en-US/axos/job/HQ---San-Diego-CA/AI-Enablement-Specialist_JR5216
Careerswift,Data Analyst - Junior / Middle,USA,2027-AI-College-Jobs,Other,"$65,000 - $100,000",3d,https://jobs.ashbyhq.com/careerswift.ai/a3265022-3e44-4d64-bda3-537be8ab0dd9
GRAIL,Data Engineer 1 - Operational Technology - Operations #4941,"Durham, NC",2027-AI-College-Jobs,Other,$86K - $106K,3d,https://jobs.lever.co/grailbio/36b40389-6f5d-467f-b4b0-e220ca73e89d
Quantiphi,Architect ML - AI Researcher,Remote - USA,2027-AI-College-Jobs,Other,,3d,https://quantiphi.wd1.myworkdayjobs.com/en-US/careers_at_quantiphi/job/USA---Remote/Architect-ML---AI-Researcher_JR11867
Syncreon Consulting,Data Engineer with strong Snowflake & Databricks - US Citizens AND Local candidates Only - 12yrs+ overall,"Seattle, WA",2027-AI-College-Jobs,Other,,3d,https://jobs.smartrecruiters.com/SyncreonConsulting/744000146178579-data-engineer-with-strong-snowflake-databricks-us-citizens-and-local-candidates-only-12yrs-overall-?oga=true
Vertex,Exploratory Biology Research Scientist,"San Diego, CA",2027-AI-College-Jobs,Other,"$105,600 - $158,400",3d,https://vrtx.wd501.myworkdayjobs.com/en-US/vertex_careers/job/San-Diego-CA/Exploratory-Biology-Research-Scientist_REQ-29938
Citi,Functions - Quantitative Risk Management - Summer Analyst - Tampa - USA - 2027,"Tampa, FL",2027-AI-College-Jobs,Other,"$60,000.00 - $110,000.00",4d,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Tampa-Florida-United-States/Functions---Quantitative-Risk-Management--Summer-Analyst--Tampa---USA--2027_26990051
Citi,Functions - Quantitative Risk Management - Summer Analyst - Buffalo - USA - 2027,USA,2027-AI-College-Jobs,Other,"$60,000.00 - $110,000.00",4d,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Getzville-New-York-United-States/Functions---Quantitative-Risk-Management--Summer-Analyst--Buffalo---USA--2027_26990039
Citi,Functions - Quantitative Risk Management - Summer Analyst - Irving - USA - 2027,"Irving, TX",2027-AI-College-Jobs,Other,"$60,000.00 - $110,000.00",4d,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Irving-Texas-United-States/Functions---Quantitative-Risk-Management--Summer-Analyst--Irving---USA--2027_26990048
ING,Junior Data Scientist,"Waco, TX +1",2027-AI-College-Jobs,Other,,4d,https://ing.wd3.myworkdayjobs.com/en-US/jvsgblcor/job/ACT-Amsterdam---Acanthus/Junior-Data-Scientist_REQ-10120426
Legend Biotech,Associate CMC Process Data Analyst,"Raritan, NJ",2027-AI-College-Jobs,Other,"$81,118.96 - $81,118.96   USD",4d,https://job-boards.greenhouse.io/legendcareers/jobs/4728086005
LMI Innovation,Data Engineer,"Fort Gregg-Adams, VA",2027-AI-College-Jobs,Other,"$80,375 - $90,604",4d,https://careers-lmi.icims.com/jobs/14408/data-engineer/job
True Anomaly,Data Engineer I,"Denver, CO +1",2027-AI-College-Jobs,Other,"$80,000 - $110,000,",4d,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5223279007
Ankura,Associate - Forensic Data & Analytics,"Chicago, IL +2",2027-AI-College-Jobs,Other,"$70,00 - $90,000",5d,https://ankura.wd5.myworkdayjobs.com/en-US/ankura/job/Chicago-IL/Associate--Forensic-Data---Analytics_R104901
DaVita Kidney Care,Data Analyst - Clinical Analytics and Reporting,"Remote - Colorado, USA",2027-AI-College-Jobs,Other,"$57,784.00 - $85,000.00",5d,https://davita.wd1.myworkdayjobs.com/en-US/dkc_external/job/09507---Colorado-Remote/Data-Analyst--Clinical-Analytics-and-Reporting_R0475257
Embry-Riddle Aeronautical University,Flight Scheduling Data Analyst,"Prescott, AZ",2027-AI-College-Jobs,Other,,5d,https://embryriddle.wd1.myworkdayjobs.com/en-US/external/job/Prescott-AZ/Flight-Scheduling-Data-Analyst_R311989
GDIT,Human Performance Data Scientist I,USA,2027-AI-College-Jobs,Other,"$72,877 - $98,599",5d,https://gdit.wd5.myworkdayjobs.com/en-US/external_career_site/job/USA-FL-Hurlburt-Field---229-Cody-Ave-FLC017/Human-Performance-Data-Scientist-I_RQ210954
Hughes Federal Credit Union,Data Analyst,"Tucson, AZ",2027-AI-College-Jobs,Other,"$78,000.00 - $98,000.00",5d,http://hughesfcu.applytojob.com/apply/rNxdWN03G7/Data-Analyst
Canon,Assoc Analyst - Data Analytics,"Boca Raton, FL",2027-AI-College-Jobs,Other,"$54,460 - $81,550",6d,https://external-canoncareers.icims.com/jobs/34752/assoc-analyst%2c-data-analytics/job
Emory Healthcare,Associate AI Engineer,"Atlanta, GA",2027-AI-College-Jobs,Other,,6d,https://non-clinical-emory.icims.com/jobs/170743/associate-ai-engineer/job
Maersk,Data Analyst - Shift D Wednesday- Saturday 5:00pm-3:30am,"California, MD",2027-AI-College-Jobs,Other,"$705,000 - $80,730",6d,https://maersk.wd3.myworkdayjobs.com/en-US/maersk_careers/job/United-States-of-America-California-Stockton95206/Data-Analyst---Shift-D-Wednesday--Saturday-5-00pm-3-30am_R194482
Man Group,Systematic Graduate Rotational Quant,"Boston, MA",2027-AI-College-Jobs,Other,"$90,000 - $100,000   USD",6d,https://job-boards.eu.greenhouse.io/mangroup/jobs/4960444101
P&G - Procter & Gamble,Data & AI Engineering - 2027 Grads,"Cincinnati, OH",2027-AI-College-Jobs,Other,"$85,000.00 - $122,200.00",6d,https://pg.wd5.myworkdayjobs.com/en-US/1000/job/CINCINNATI-GENERAL-OFFICES/Data---AI-Engineering--2027-Grads-_R000157913
P&G - Procter & Gamble,Data Science - Master’s degree - 2027 Grads,"Cincinnati, OH",2027-AI-College-Jobs,Other,"$85,000.00 - $122,200.00",6d,https://pg.wd5.myworkdayjobs.com/en-US/1000/job/CINCINNATI-GENERAL-OFFICES/Data-Science--Master-s-degree---2027-Grads-_R000157919
City of Tucson,Data Analyst I,"Tucson, AZ",2027-AI-College-Jobs,Other,$24.16 - $36.24 USD,7d,https://tucsonaz.wd1.myworkdayjobs.com/en-US/tucson_talent/job/Tucson-Police-Department-Headquarters/Data-Analyst-I_JR-1003361
Garner Health,Data Analyst I,"New York City, NY",2027-AI-College-Jobs,Other,,7d,https://job-boards.greenhouse.io/garnerhealth/jobs/6144708004
Guidehouse,Data Analyst/FM Product Specialist - Multiple Levels,"Arlington, VA +3",2027-AI-College-Jobs,Other,,7d,https://guidehouse.wd1.myworkdayjobs.com/en-US/external/job/US---VA-Arlington/Data-Analyst-FM-Product-Specialist--Multiple-Levels-_43860
KBR,Data Engineer - JR,"Chantilly, VA",2027-AI-College-Jobs,Other,"$95,200 - $119,000",7d,https://kbr.wd5.myworkdayjobs.com/en-US/kbr_careers/job/Chantilly-Virginia/Data-Engineer--JR_R2128783
OpenX Technologies,Business Intelligence Data Analyst,Remote - USA,2027-AI-College-Jobs,Other,"$93,500 - $110,000",7d,https://jobs.lever.co/openx/df23b30a-21b5-4055-9698-5b5c2767df3c
Pryzm,Federal Data Analyst,"Boston, MA",2027-AI-College-Jobs,Other,"$75,000 - $90,000",7d,https://jobs.ashbyhq.com/pryzm/2c40f0bb-e559-49b3-9831-81d7484cc6dc
Redhorse Corporation,Junior Graph Data Engineer,"Arlington, VA",2027-AI-College-Jobs,Other,"$85,000 - $105,000",7d,https://jobs.lever.co/redhorsecorp/7e25f5b6-1f91-47ef-8fd1-24663fa7a77b
Jerry,Associate Data Scientist,"New York City, NY +3",2027-AI-College-Jobs,Other,,10d,https://jobs.ashbyhq.com/jerry.ai/8e11d1bd-b863-48c2-b499-f0297c8346d3
Lila Sciences,Research Scientist I/II - Computational Organic Electronics,"Cambridge, MA",2027-AI-College-Jobs,Other,"$176,000 - $304,000   USD",10d,https://job-boards.greenhouse.io/lilasciences/jobs/4376824009
Voya Financial,CLO Data Analyst - BLGC,"Scottsdale, AZ",2027-AI-College-Jobs,Other,"$79,000 - $110,500",10d,https://godirect.wd5.myworkdayjobs.com/en-US/voya_jobs/job/Scottsdale-AZ/CLO-Data-Analyst---BLGC_JR0033085
Osaic,Quantitative Analyst I,"Scottsdale, AZ",2027-AI-College-Jobs,Other,"$57,750 - $63,000",11d,https://advisorgroup.wd1.myworkdayjobs.com/en-US/advisor_career_site/job/Scottsdale-AZ/Quantitative-Analyst-II_R0005112
Great American Insurance Group,Junior Data Scientist,Remote - USA,2027-AI-College-Jobs,Other,"$75,000.00 - $85,000.00",12d,https://gaig.wd1.myworkdayjobs.com/en-US/gaig_external/job/Remote-USA/Junior-Data-Scientist_R9395
